Date,GoogleIndex,MovieTitle,Studio
2018-11-21,34,Fantastic Beasts The Crimes of Grindelwald,WB
2018-11-22,37,Fantastic Beasts The Crimes of Grindelwald,WB
2018-11-23,47,Fantastic Beasts The Crimes of Grindelwald,WB
2018-11-24,41,Fantastic Beasts The Crimes of Grindelwald,WB
2018-11-25,22,Fantastic Beasts The Crimes of Grindelwald,WB
2018-11-26,22,Fantastic Beasts The Crimes of Grindelwald,WB
2018-11-27,21,Fantastic Beasts The Crimes of Grindelwald,WB
2018-10-31,53,Bohemian Rhapsody,Fox
2018-11-01,80,Bohemian Rhapsody,Fox
2018-11-02,100,Bohemian Rhapsody,Fox
2018-11-03,94,Bohemian Rhapsody,Fox
2018-11-04,70,Bohemian Rhapsody,Fox
2018-11-05,53,Bohemian Rhapsody,Fox
2018-11-06,50,Bohemian Rhapsody,Fox
2018-11-07,49,Bohemian Rhapsody,Fox
2018-11-08,54,Bohemian Rhapsody,Fox
2018-11-09,78,Bohemian Rhapsody,Fox
2018-11-10,77,Bohemian Rhapsody,Fox
2018-11-11,52,Bohemian Rhapsody,Fox
2018-11-12,42,Bohemian Rhapsody,Fox
2018-11-13,39,Bohemian Rhapsody,Fox
2018-11-14,39,Bohemian Rhapsody,Fox
2018-11-15,45,Bohemian Rhapsody,Fox
2018-11-16,64,Bohemian Rhapsody,Fox
2018-11-17,63,Bohemian Rhapsody,Fox
2018-11-18,41,Bohemian Rhapsody,Fox
2018-11-19,37,Bohemian Rhapsody,Fox
2018-11-20,34,Bohemian Rhapsody,Fox
2018-11-21,35,Bohemian Rhapsody,Fox
2018-11-22,39,Bohemian Rhapsody,Fox
2018-11-23,52,Bohemian Rhapsody,Fox
2018-11-24,48,Bohemian Rhapsody,Fox
2018-11-25,28,Bohemian Rhapsody,Fox
2018-11-26,25,Bohemian Rhapsody,Fox
2018-11-27,26,Bohemian Rhapsody,Fox
2018-10-31,4,Instant Family,Par.
2018-11-01,7,Instant Family,Par.
2018-11-02,8,Instant Family,Par.
2018-11-03,7,Instant Family,Par.
